1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6 5. Bd3 Bb7 ;4;Kamsky - Ivanchuk, 1995 (E14)
1. d4 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 O-O 5. Nc3 d6 ;25;Karpov - Kamsky, 1995 (E69)
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Ba4 Bc5 ;2;Anand - Ivanchuk, 1995 (C48)
1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. Nc3 cxd4 5. Qxd4 Nc6 ;1;Kamsky - Shirov, 1995 (B53)
1. d4 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 d5 5. cxd5 Nxd5 ;15;Karpov - Anand, 1995 (D72)
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 ;138;Kamsky - Anand, 1995 (C77)
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. Re1 Nd6 ;326;Shirov - Ivanchuk, 1995 (C67)
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 e6 5. Nbd2 Nbd7 ;3;Karpov - Shirov, 1995 (D30)
1. Nf3 Nf6 2. c4 c5 3. Nc3 e6 4. g3 d5 5. cxd5 Nxd5 ;1;Kramnik - Anand, 1995 (D41)
1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 e6 ;1;Ivanchuk - Kramnik, 1995 (A36)
1. Nf3 Nf6 2. c4 e6 3. Nc3 Bb4 4. g3 b6 5. Bg2 Bb7 ;2;Kramnik - Karpov, 1995 (A17)
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 dxc4 5. a4 Bf5 ;20;Kamsky - Kramnik, 1995 (D19)
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O b5 ;156;Ivanchuk - Anand, 1995 (C78)
1. e4 g6 2. d4 Bg7 3. c3 d6 4. Bg5 Nf6 5. Nd2 O-O ;1;Kramnik - Shirov, 1995 (A48)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Ne2 d5 ;34;Shirov - Kamsky, 1995 (E46)
1. Nf3 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 O-O 5. O-O Nc6 ;1;Ivanchuk - Shirov, 1995 (E63)
1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6 5. Be2 Nf6 ;1;Anand - Kramnik, 1995 (B08)
1. d4 Nf6 2. Nf3 g6 3. Bg5 Bg7 4. c3 d5 5. Nbd2 O-O ;1;Kamsky - Anand, 1995 (D03)
1. d4 g6 2. e4 Bg7 3. Nf3 d6 4. Be2 Nf6 5. Nc3 O-O ;1;Karpov - Shirov, 1995 (B08)
1. d4 f5 2. g3 Nf6 3. Bg2 d6 4. Nc3 d5 5. Bg5 e6 ;1;Karpov - Ivanchuk, 1995 (A81)
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d6 ;26;Ivanchuk - Shirov, 1995 (E63)
1. d4 d5 2. Nf3 Nf6 3. c4 dxc4 4. e3 e6 5. Bxc4 c5 ;12;Gelfand - Salov, 1995 (D27)
1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. Nc3 Bb4 ;5;Shirov - Karpov, 1995 (C22)
1. Nf3 Nf6 2. c4 g6 3. Nc3 Bg7 4. d4 O-O 5. e4 d6 ;2;Kramnik - Ivanchuk, 1995 (E92)
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Qxd4 Bd7 5. c4 Nc6 ;1;Anand - Kasparov, 1995 (B53)
1. Nf3 g6 2. e4 Bg7 3. d4 d6 4. c4 Bg4 5. Be2 Bxf3 ;1;Kasparov - Anand, 1995 (A41)
1. Nf3 g6 2. e4 Bg7 3. d4 d6 4. Bc4 Nf6 5. Qe2 O-O ;3;Ivanchuk - Anand, 1995 (B06)
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. c3 d6 ;9;Kramnik - Kasparov, 1995 (C54)
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Be7 ;4;Kasparov - Anand, 1995 (C51)
1. Nf3 g6 2. d4 Nf6 3. c4 Bg7 4. Nc3 d5 5. cxd5 Nxd5 ;3;Kramnik - Anand, 1995 (D85)
1. Nf3 Nf6 2. c4 e6 3. Nc3 b6 4. g3 c5 5. Bg2 Bb7 ;1;Kramnik - Ivanchuk, 1995 (A30)
1. Nf3 Nf6 2. c4 c6 3. Nc3 d5 4. d4 e6 5. Bg5 Nbd7 ;1;Kramnik - Ivanchuk, 1995 (D52)
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3 Be7 5. O-O O-O ;40;Kramnik - Kasparov, 1995 (C55)
1. c4 c5 2. Nc3 g6 3. g3 Bg7 4. Bg2 Nc6 5. a3 a6 ;1;Kasparov - Kramnik, 1995 (A37)
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. Nc3 Nxc3 ;171;Kramnik - Kasparov, 1995 (C42)
1. d4 d5 2. c4 Nc6 3. cxd5 Qxd5 4. e3 e5 5. Nc3 Bb4 ;3;Kasparov - Ivanchuk, 1995 (D07)
1. Nf3 d5 2. d4 e6 3. c4 dxc4 4. Qa4+ Nc6 5. Qxc4 Nf6 ;1;Kramnik - Ivanchuk, 1995 (D21)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. cxd5 Qxd5 ;42;Kasparov - Anand, 1995 (E34)
